Ngày;Thực thu;Tiền thuế GTGT;Thực thu;Số khách hàng
01/01/2026;36.101.340;2.876.940;36.101.340;103,00
02/01/2026;40.013.255;3.233.655;40.013.255;93,00
03/01/2026;45.217.814;3.576.214;45.003.194;114,00
04/01/2026;17.303.476;1.377.776;17.303.476;46,00
05/01/2026;16.138.540;1.297.540;16.138.540;46,00
06/01/2026;16.749.660;1.363.660;16.749.660;36,00
07/01/2026;18.224.775;1.432.125;18.224.775;51,00
08/01/2026;32.858.440;2.556.440;32.858.440;97,00
09/01/2026;94.605.815;7.666.165;94.605.815;201,00
10/01/2026;85.268.660;6.834.660;85.268.660;199,00
11/01/2026;36.444.000;2.937.100;36.444.000;89,00
12/01/2026;7.411.980;598.980;7.411.980;19,00
13/01/2026;14.338.200;1.166.200;14.338.200;32,00
14/01/2026;20.689.680;1.654.680;19.378.560;43,00
15/01/2026;44.942.724;3.570.424;44.942.724;117,00
16/01/2026;111.034.334;8.677.534;91.954.334;243,00
17/01/2026;70.700.860;5.613.860;70.700.860;170,00
18/01/2026;37.604.434;2.954.134;37.604.434;102,00
19/01/2026;26.929.260;2.169.260;26.929.260;68,00
20/01/2026;64.418.848;5.117.398;48.402.754;170,00
21/01/2026;17.636.580;1.407.580;17.636.580;42,00
22/01/2026;45.844.100;3.654.100;45.844.100;91,00
23/01/2026;88.382.768;7.025.268;88.382.768;220,00
24/01/2026;33.642.330;2.694.780;33.642.330;82,00
25/01/2026;28.976.600;2.303.600;28.976.600;81,00
26/01/2026;17.594.940;1.388.940;17.594.940;45,00
27/01/2026;32.632.780;2.571.780;32.632.780;81,00
28/01/2026;36.645.820;2.864.820;35.637.100;94,00
29/01/2026;46.264.684;3.652.284;46.264.684;136,00
30/01/2026;81.581.746;6.353.546;76.510.978;211,00
31/01/2026;63.025.140;4.976.140;63.025.140;175,00
01/02/2026;23.106.360;1.805.360;23.106.360;60,00
02/02/2026;38.770.120;3.103.120;38.196.000;106,00
03/02/2026;41.963.344;3.278.044;41.963.344;126,00
04/02/2026;60.747.390;4.760.740;60.747.390;146,00
05/02/2026;61.713.654;4.837.054;61.713.654;166,00
06/02/2026;98.207.920;7.780.920;83.100.240;256,00
07/02/2026;72.246.600;5.682.600;72.246.600;182,00
08/02/2026;31.586.540;2.462.540;31.586.540;100,00
09/02/2026;44.134.042;3.491.142;44.134.042;117,00
10/02/2026;60.139.580;4.822.780;60.139.580;134,00
11/02/2026;47.721.484;3.778.184;47.721.484;147,00
12/02/2026;38.443.276;3.042.276;35.970.508;97,00
13/02/2026;22.077.560;1.743.560;22.077.560;63,00
14/02/2026;28.846.420;2.324.420;28.846.420;72,00
21/02/2026;40.891.588;3.228.988;40.891.588;101,00
22/02/2026;11.433.752;879.852;11.433.752;39,00
23/02/2026;25.889.860;2.061.860;25.889.860;72,00
24/02/2026;35.118.626;2.796.026;35.118.626;79,00
25/02/2026;33.785.960;2.699.960;33.785.960;91,00
26/02/2026;14.592.220;1.166.220;14.592.220;33,00
27/02/2026;54.896.100;4.357.100;54.896.100;121,00
28/02/2026;57.144.000;4.614.400;57.144.000;125,00
01/03/2026;24.456.600;1.949.600;24.456.600;66,00
02/03/2026;15.872.880;1.255.880;15.872.880;42,00
03/03/2026;18.954.540;1.511.540;18.954.540;49,00
04/03/2026;32.207.620;2.558.620;32.207.620;85,00
05/03/2026;34.422.684;2.653.784;34.422.684;94,00
06/03/2026;62.864.820;4.971.120;61.671.240;176,00
07/03/2026;47.242.520;3.769.520;46.972.520;126,00
08/03/2026;23.721.944;1.902.444;23.721.944;62,00
09/03/2026;6.296.960;496.960;6.296.960;20,00
10/03/2026;44.078.332;3.540.512;44.078.332;104,00
11/03/2026;26.966.160;2.152.160;26.966.160;62,00
12/03/2026;29.778.320;2.376.320;29.778.320;75,00
13/03/2026;75.070.342;5.938.942;75.070.342;185,00
14/03/2026;71.916.320;5.676.320;71.916.320;172,00
15/03/2026;20.004.340;1.519.340;20.004.340;75,00
16/03/2026;21.374.934;1.681.234;21.374.934;96,00
17/03/2026;27.289.276;2.151.576;27.289.276;79,00
18/03/2026;24.394.608;1.982.308;24.394.608;67,00
19/03/2026;38.593.740;3.035.740;38.593.740;96,00
20/03/2026;45.784.900;3.688.900;45.784.900;99,00
21/03/2026;44.183.064;3.515.764;44.183.064;121,00
22/03/2026;16.339.120;1.309.120;16.339.120;42,00
23/03/2026;37.440.940;2.965.940;37.440.940;103,00
24/03/2026;8.113.244;630.944;8.113.244;36,00
25/03/2026;23.230.440;1.909.440;23.230.440;57,00
26/03/2026;49.937.504;4.058.804;49.937.504;123,00
27/03/2026;66.048.332;5.305.332;58.973.018;164,00
28/03/2026;29.010.320;2.297.820;29.010.320;62,00
29/03/2026;17.942.600;1.418.600;17.942.600;42,00
30/03/2026;7.922.460;625.460;7.922.460;23,00
31/03/2026;25.423.500;2.032.500;25.423.500;67,00
01/04/2026;28.304.540;2.239.540;28.304.540;92,00
02/04/2026;32.978.360;2.614.360;32.978.360;80,00
03/04/2026;57.232.760;4.563.760;57.232.760;131,00
04/04/2026;40.871.774;3.250.974;40.871.774;112,00
05/04/2026;17.433.468;1.369.868;17.433.468;49,00
06/04/2026;19.092.240;1.541.240;19.092.240;38,00
07/04/2026;18.888.440;1.456.440;17.861.440;64,00
08/04/2026;19.212.960;1.499.960;19.212.960;55,00
09/04/2026;49.348.080;3.929.080;49.348.080;110,00
10/04/2026;62.782.696;4.984.096;62.782.696;160,00
11/04/2026;68.501.296;5.484.296;68.501.296;168,00
12/04/2026;18.442.340;1.491.140;18.442.340;48,00
13/04/2026;9.971.434;779.884;9.971.434;31,00
14/04/2026;37.490.936;3.028.936;37.490.936;120,00
15/04/2026;45.788.600;3.670.600;45.788.600;115,00
16/04/2026;24.927.500;1.967.500;24.927.500;67,00
17/04/2026;66.299.949;5.325.699;66.299.949;151,00
18/04/2026;32.424.920;2.553.920;32.424.920;93,00
19/04/2026;26.181.520;2.128.520;26.181.520;54,00
20/04/2026;25.963.400;2.063.400;24.975.200;73,00
21/04/2026;6.747.180;536.180;6.747.180;23,00
22/04/2026;33.656.860;2.626.860;33.656.860;99,00
23/04/2026;43.020.050;3.392.450;43.020.050;106,00
