date;revenue;vat;Thực thu.1;covers;TC;ac
2026-01-01;36101340;2876940;36.101.340;103,00;24;1504222
2026-01-02;40013255;3233655;40.013.255;93,00;16;2500828
2026-01-03;45217814;3576214;45.003.194;114,00;22;2055355
2026-01-04;17303476;1377776;17.303.476;46,00;11;1573043
2026-01-05;16138540;1297540;16.138.540;46,00;9;1793171
2026-01-06;16749660;1363660;16.749.660;36,00;8;2093708
2026-01-07;18224775;1432125;18.224.775;51,00;10;1822478
2026-01-08;32858440;2556440;32.858.440;97,00;17;1932849
2026-01-09;94605815;7666165;94.605.815;201,00;21;4505039
2026-01-10;85268660;6834660;85.268.660;199,00;33;2583899
2026-01-11;36444000;2937100;36.444.000;89,00;22;1656545
2026-01-12;7411980;598980;7.411.980;19,00;6;1235330
2026-01-13;14338200;1166200;14.338.200;32,00;8;1792275
2026-01-14;20689680;1654680;19.378.560;43,00;12;1724140
2026-01-15;44942724;3570424;44.942.724;117,00;12;3745227
2026-01-16;111034334;8677534;91.954.334;243,00;15;7402289
2026-01-17;70700860;5613860;70.700.860;170,00;33;2142450
2026-01-18;37604434;2954134;37.604.434;102,00;25;1504177
2026-01-19;26929260;2169260;26.929.260;68,00;20;1346463
2026-01-20;64418848;5117398;48.402.754;170,00;11;5856259
2026-01-21;17636580;1407580;17.636.580;42,00;25;705463
2026-01-22;45844100;3654100;45.844.100;91,00;15;3056273
2026-01-23;88382768;7025268;88.382.768;220,00;23;3842729
2026-01-24;33642330;2694780;33.642.330;82,00;19;1770649
2026-01-25;28976600;2303600;28.976.600;81,00;15;1931773
2026-01-26;17594940;1388940;17.594.940;45,00;10;1759494
2026-01-27;32632780;2571780;32.632.780;81,00;17;1919575
2026-01-28;36645820;2864820;35.637.100;94,00;16;2290364
2026-01-29;46264684;3652284;46.264.684;136,00;22;2102940
2026-01-30;81581746;6353546;76.510.978;211,00;24;3399239
2026-01-31;63025140;4976140;63.025.140;175,00;24;2626048
2026-02-01;23106360;1805360;23.106.360;60,00;22;1050289
2026-02-02;38770120;3103120;38.196.000;106,00;17;2280595
2026-02-03;41963344;3278044;41.963.344;126,00;17;2468432
2026-02-04;60747390;4760740;60.747.390;146,00;20;3037370
2026-02-05;61713654;4837054;61.713.654;166,00;23;2683202
2026-02-06;98207920;7780920;83.100.240;256,00;27;3637330
2026-02-07;72246600;5682600;72.246.600;182,00;28;2580236
2026-02-08;31586540;2462540;31.586.540;100,00;27;1169872
2026-02-09;44134042;3491142;44.134.042;117,00;16;2758378
2026-02-10;60139580;4822780;60.139.580;134,00;24;2505816
2026-02-11;47721484;3778184;47.721.484;147,00;20;2386074
2026-02-12;38443276;3042276;35.970.508;97,00;18;2135738
2026-02-13;22077560;1743560;22.077.560;63,00;16;1379848
2026-02-14;28846420;2324420;28.846.420;72,00;12;2403868
